sample,fastq_1,fastq_2,strandedness
N2L,reads/Sample_WL-3899-N2L/WL-3899-N2L_S1010_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N2L/WL-3899-N2L_S1010_L007_R2_001.fastq.gz,auto
N2S,reads/Sample_WL-3899-N2S/WL-3899-N2S_S1021_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N2S/WL-3899-N2S_S1021_L007_R2_001.fastq.gz,auto
N3L,reads/Sample_WL-3899-N3L/WL-3899-N3L_S1008_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N3L/WL-3899-N3L_S1008_L007_R2_001.fastq.gz,auto
N3S,reads/Sample_WL-3899-N3S/WL-3899-N3S_S1019_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N3S/WL-3899-N3S_S1019_L007_R2_001.fastq.gz,auto
N4L,reads/Sample_WL-3899-N4L/WL-3899-N4L_S1009_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N4L/WL-3899-N4L_S1009_L007_R2_001.fastq.gz,auto
N4S,reads/Sample_WL-3899-N4S/WL-3899-N4S_S1020_L007_R1_001.fastq.gz,reads/Sample_WL-3899-N4S/WL-3899-N4S_S1020_L007_R2_001.fastq.gz,auto
NE3L,reads/Sample_WL-3899-NE3L/WL-3899-NE3L_S1016_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE3L/WL-3899-NE3L_S1016_L007_R2_001.fastq.gz,auto
NE3S,reads/Sample_WL-3899-NE3S/WL-3899-NE3S_S1027_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE3S/WL-3899-NE3S_S1027_L007_R2_001.fastq.gz,auto
NE4L,reads/Sample_WL-3899-NE4L/WL-3899-NE4L_S1017_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE4L/WL-3899-NE4L_S1017_L007_R2_001.fastq.gz,auto
NE4S,reads/Sample_WL-3899-NE4S/WL-3899-NE4S_S1028_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE4S/WL-3899-NE4S_S1028_L007_R2_001.fastq.gz,auto
NE5L,reads/Sample_WL-3899-NE5L/WL-3899-NE5L_S1018_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE5L/WL-3899-NE5L_S1018_L007_R2_001.fastq.gz,auto
NE5S,reads/Sample_WL-3899-NE5S/WL-3899-NE5S_S1029_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NE5S/WL-3899-NE5S_S1029_L007_R2_001.fastq.gz,auto
NW3L,reads/Sample_WL-3899-NW3L/WL-3899-NW3L_S1013_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW3L/WL-3899-NW3L_S1013_L007_R2_001.fastq.gz,auto
NW3S,reads/Sample_WL-3899-NW3S/WL-3899-NW3S_S1045_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW3S/WL-3899-NW3S_S1045_L007_R2_001.fastq.gz,auto
NW4L,reads/Sample_WL-3899-NW4L/WL-3899-NW4L_S1014_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW4L/WL-3899-NW4L_S1014_L007_R2_001.fastq.gz,auto
NW4S,reads/Sample_WL-3899-NW4S/WL-3899-NW4S_S1025_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW4S/WL-3899-NW4S_S1025_L007_R2_001.fastq.gz,auto
NW5L,reads/Sample_WL-3899-NW5L/WL-3899-NW5L_S1015_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW5L/WL-3899-NW5L_S1015_L007_R2_001.fastq.gz,auto
NW5S,reads/Sample_WL-3899-NW5S/WL-3899-NW5S_S1026_L007_R1_001.fastq.gz,reads/Sample_WL-3899-NW5S/WL-3899-NW5S_S1026_L007_R2_001.fastq.gz,auto
W3L,reads/Sample_WL-3899-W3L/WL-3899-W3L_S1011_L007_R1_001.fastq.gz,reads/Sample_WL-3899-W3L/WL-3899-W3L_S1011_L007_R2_001.fastq.gz,auto
W3S,reads/Sample_WL-3899-W3S/WL-3899-W3S_S1022_L007_R1_001.fastq.gz,reads/Sample_WL-3899-W3S/WL-3899-W3S_S1022_L007_R2_001.fastq.gz,auto
W4S,reads/Sample_WL-3899-W4S/WL-3899-W4S_S1023_L007_R1_001.fastq.gz,reads/Sample_WL-3899-W4S/WL-3899-W4S_S1023_L007_R2_001.fastq.gz,auto
W5L,reads/Sample_WL-3899-W5L/WL-3899-W5L_S1012_L007_R1_001.fastq.gz,reads/Sample_WL-3899-W5L/WL-3899-W5L_S1012_L007_R2_001.fastq.gz,auto
W5S,reads/Sample_WL-3899-W5S/WL-3899-W5S_S1024_L007_R1_001.fastq.gz,reads/Sample_WL-3899-W5S/WL-3899-W5S_S1024_L007_R2_001.fastq.gz,auto
