"sample"	"PC1: 47% variance"	"PC2: 13% variance"
"N2L"	-7.18901257170009	-1.59369542238609
"NW4L"	-7.62934706798496	-0.879564390803362
"W5L"	-6.87297050130508	0.564289589020777
"NW3L"	-8.00018665063098	0.378338575643007
"N3L"	-6.46205793482174	1.68540584582972
"NE3L"	-8.36809852507212	-0.929879008466574
"NE5L"	-6.29538178354567	2.63737668592725
"W3L"	-9.29370613709468	0.38030743892144
"NE4L"	-6.23069079575908	0.935140302159747
"N4L"	-5.91703678958997	-1.01410120844712
"NW5L"	-3.75713918033399	-1.54237137509781
"N2S"	4.85678497976236	-3.17288044846287
"NW5S"	4.91538099532709	-2.60776482898676
"NE3S"	5.28569171825338	-3.70179028705953
"NE5S"	5.9115012516788	1.30826456679695
"NW4S"	5.97337905446595	-3.15888446965826
"W4S"	5.97412741306138	13.7554515708337
"N3S"	6.38833597691144	-0.851132324067106
"N4S"	6.55548903024021	-1.20556127023768
"NW3S"	7.12336306497677	-4.2866599501696
"NE4S"	7.30864791422326	-1.64524606986384
"W3S"	7.7752083085093	3.65883708645405
"W5S"	7.94771823042836	1.28611939211991
