gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorAcadem-1	MarorAcadem-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MarorAcadem-2	MarorAcadem-2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0
MarorAcadem-3	MarorAcadem-3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MarorAcadem-4	MarorAcadem-4	12	8	11	5	3	8	7	19	9	7	8	10	15	10	11	9	2	7	11	17	3	16	4
MarorAcadem-5	MarorAcadem-5	12	5	10	14	8	8	17	6	2	7	5	6	8	5	17	12	3	5	11	9	0	5	4
MarorAcadem-6	MarorAcadem-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-1	MarorCMC-1	0	1	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	0	0	0
MarorCMC-10	MarorCMC-10	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	1
MarorCMC-2	MarorCMC-2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-3	MarorCMC-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-4	MarorCMC-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-5	MarorCMC-5	10	3	25	0	12	1	18	2	20	0	17	4	10	1	7	3	6	0	27	0	0	17	1
MarorCMC-6	MarorCMC-6	2	0	0	6.936	0	7.919	1.658	3	1	2	3	1.162	0	9	1	1	0	3.606	2	1.265	0	0	1.385
MarorCMC-7	MarorCMC-7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-8	MarorCMC-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-9	MarorCMC-9	688	492	588	837	507	998	837	1839	438	1088	465	781	573	657	811	986	442	745	935	1114	215	592	447
MarorCopia-1	MarorCopia-1	10	7	6	54	8	62	1	24	2	55	2	17	2	30	0	28	1	16	1	32	13	1	62
MarorCopia-10	MarorCopia-10	7393	2580	6451	4087	5711	4217	6530	5565	3087	3489	3419	2997	7294	6271	7742	4205	4095	2492	7256	2912	691	5665	1027
MarorCopia-11	MarorCopia-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-12	MarorCopia-12	19	38	21	37	18	38	33	26	29	28	27	43	19	24	16	24	17	20	39	50	14	24	18
MarorCopia-13	MarorCopia-13	0	0	0	1	0	1	0	0	0	1	0	7	0	0	0	2	0	0	0	3	0	1	0
MarorCopia-14	MarorCopia-14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-15	MarorCopia-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-16	MarorCopia-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MarorCopia-17	MarorCopia-17	7	8	18	28	13	27	19	18	6	16	7	16	15	19	15	6	15	8	10	8	4	12	11
MarorCopia-18	MarorCopia-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-19	MarorCopia-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-2	MarorCopia-2	28	1515	67	2392	162	2054	36	2985	42	2220	28	608	28	2251	84	1768	565	1016	14	435	29	242	329
MarorCopia-20	MarorCopia-20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-3	MarorCopia-3	1	2	1	0	2	3	2	0	2	0	0	2	8	2	7	0	5	1	0	1	0	0	0
MarorCopia-4	MarorCopia-4	1	0	3	1	2	2	4	0	3	1	2	3	3	0	3	7	2	1	4	0	0	1	0
MarorCopia-5	MarorCopia-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-6	MarorCopia-6	2	14	8	24	8	19	10	6	7	23	7	11	4	19	3	14	6	11	5	3	4	2	3
MarorCopia-7	MarorCopia-7	0	8	0	8	0	20	1	44	0	13	0	11	0	12	0	30	0	26	0	0	0	0	1
MarorCopia-8	MarorCopia-8	0	0	0	4	1	3	0	1	0	4	1	4	0	3	0	1	0	3	0	4	0	0	0
