gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorAcadem-1	MarorAcadem-1	0	0	0	0	0	0	1.00640722032734	0	0	0	0	1.00589423566451	0	0	0	0	0	0	0	0	0	0	0
MarorAcadem-2	MarorAcadem-2	0	0	0	0	0	0	0	0	0	0	0	0	3.05849844521093	0	0	0.973862319193158	0	0	0	0	0	0	0
MarorAcadem-3	MarorAcadem-3	0	0	0	0	1.01105884444765	0	0	0	0	0	0	0	0	0	0	0	0	0.986750749044763	0	0	0	0	0
MarorAcadem-4	MarorAcadem-4	12.4187871244925	7.88318966567953	11.1524087568594	4.99115252442665	3.06529920366036	7.88604478161773	6.8890701396815	18.9590978935461	8.85136877897636	6.81754630428645	7.93314520608354	9.84894782880041	15.3139448553013	10.7711917050674	11.2125093862687	8.99345432734438	2.02557162638288	6.90696748741079	10.9601667977239	16.6462809130911	2.93077706829868	16.2939084060509	3.91863987574437
MarorAcadem-5	MarorAcadem-5	12.9382339483928	4.84442409137443	10.1841701537404	13.791486379889	8.3871996118849	7.65971050690955	16.2835742698514	5.94644469081476	1.92723722725369	6.5824063295947	4.84572350936515	5.77661699657738	8.41387481778304	6.03484407294746	17.7822904993055	11.8493189761546	3.09682240775697	4.85076172708855	10.9514569426526	8.5512694982779	0	5.20237832036513	3.80279101537679
MarorAcadem-6	MarorAcadem-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-1	MarorCMC-1	0	1.00163982745165	0	0	0	0	0	0	0	2.00089647075172	0	2.0041440568428	1.00634061320816	0	0	0	0	0	1.00304833051305	0	0	0	0
MarorCMC-10	MarorCMC-10	0	0	0	0	0	0	0	0	1.00583154375437	3.02777797048274	0	1.00586678645142	0	0	0	0	0	0	1.00136249914174	0	0	0	1.00717489324534
MarorCMC-2	MarorCMC-2	0	0	1.0031918369176	1.00200647269207	0	0	0	0	0	1.00002928162668	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-3	MarorCMC-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-4	MarorCMC-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-5	MarorCMC-5	10.3481521145992	2.92579118760862	25.1675960383289	0	12.2231769392682	0.974970154220381	17.5244250914356	1.97833052182997	19.4478706109395	0	16.7045507537764	3.89537669947554	10.1737320755404	1.08588562445353	7.11207909681587	2.96993943410971	6.04302596380789	0	26.6853593658268	0	0	17.2462115327409	0.967760454313838
MarorCMC-6	MarorCMC-6	1.99205838072844	0	0	6.94208019040891	0	7.94255863273419	1.66478952659548	3.0024323806781	1.00343050343822	2.01087518425724	3.00738820359955	1.16620932471042	0	8.91890000625303	0.997335909785496	1.00075496389734	0	3.61600881619378	2.00162635749035	1.27113597144007	0	0	1.39040598829447
MarorCMC-7	MarorCMC-7	0	0	0	1.01370671920735	0	0	0	0	0.992926673589849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-8	MarorCMC-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCMC-9	MarorCMC-9	694.999644537132	490.040661478242	589.99608162119	836.57534975071	509.808251033679	994.268302842822	833.920488117389	1837.91420942368	436.103527394361	1080.7338671449	464.114788966239	778.11971830526	575.987309810085	670.454808565117	814.938721635598	985.84853353564	443.382698638284	742.390136618207	933.883248710056	1108.24592182572	213.927225954169	594.931295363104	444.64122004658
MarorCopia-1	MarorCopia-1	9.94675079247483	7.0203270919992	5.98233565209989	54.0281940503234	7.96825311094263	62.1867363098875	1.00419429115507	24.0119663641418	2.00710869747869	55.3224887335911	2.00470588213228	17.0630114565748	1.990918748781	29.6591939363008	0	28.0114574241245	0.997543005015311	16.0456414240685	1.00054241709337	32.1580936027424	13.0871235708592	0.996539111824186	62.2762323253822
MarorCopia-10	MarorCopia-10	7427.98662233012	2575.72200803934	6458.47269148057	4086.21106340628	5723.554036706	4210.83832830963	6523.35432584053	5563.5776337132	3081.86118158093	3480.52880326135	3417.35899680924	2993.43352880181	7307.03093078106	6328.85490696498	7756.63401745528	4204.99949935998	4099.72529243316	2488.61002983037	7251.38167794426	2906.92510648839	690.289711001547	5676.28998709833	1024.96494264629
MarorCopia-11	MarorCopia-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorCopia-12	MarorCopia-12	19.0925102275466	37.9347575057557	21.0255081626258	36.99256418527	18.0410801310502	37.9422874860689	32.9641938275597	25.9931349217792	28.9497697337975	27.9290017097209	26.9860697801197	42.9461129587704	19.0355812275853	24.2281593979985	16.031437359449	23.999904182784	17.020461745206	19.9717096867989	38.9746279179179	49.9085307078376	13.9842044764432	24.0496167069095	17.9628307026047
