gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorAcadem-1	MarorAcadem-1	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.968	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.245	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736	5874.60648887736
MarorAcadem-2	MarorAcadem-2	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	284.4	292.166942688594	292.166942688594	300.146	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594	292.166942688594
MarorAcadem-3	MarorAcadem-3	657.731477124213	657.731477124213	657.731477124213	657.731477124213	646	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213	669.676	657.731477124213	657.731477124213	657.731477124213	657.731477124213	657.731477124213
MarorAcadem-4	MarorAcadem-4	488.194	520.481	500.894	511.649	496.031	520.327	521.968	511.843	521.992	529.086	516.501	521.245	496.115	463.976	497.578	510.985	501.783	519.678	512.721	525.365	527.765	498.104	524.801
MarorAcadem-5	MarorAcadem-5	203.795	230.219	216.867	225.484	210.247	232.981	233.24	224.125	231.699	238.323	229.845	231.903	209.444	180.078	210.877	224.893	214.109	229.869	223.164	235.471	221.560774075437	212.026	235.193
MarorAcadem-6	MarorAcadem-6	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957	271.561826086957
MarorCMC-1	MarorCMC-1	1452.78382908821	1457.481	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1466.086	1452.78382908821	1458.245	1432.619	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821	1449.711	1452.78382908821	1452.78382908821	1452.78382908821	1452.78382908821
MarorCMC-10	MarorCMC-10	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.992	20970.086	20962.9663086847	20962.245	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20962.9663086847	20953.711	20962.9663086847	20962.9663086847	20962.9663086847	20965.801
MarorCMC-2	MarorCMC-2	1600.75728300552	1600.75728300552	1587.665	1598.649	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1616.086	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552	1600.75728300552
MarorCMC-3	MarorCMC-3	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783	1772.28230434783
MarorCMC-4	MarorCMC-4	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913	22.6585652173913
MarorCMC-5	MarorCMC-5	418.225	450.481	432.118	436.995487879641	426.225	450.646	451.978	442.296	452.243	436.995487879641	446.501	451.569	426.461	394.236	427.616	441.822	432.227	436.995487879641	442.77	436.995487879641	436.995487879641	428.314	455.076
MarorCMC-6	MarorCMC-6	4033.238	4058.25418325903	4058.25418325903	4057.649	4058.25418325903	4066.274	4067.968	4057.738	4067.992	4075.086	4062.501	4067.245	4058.25418325903	4009.826	4043.569	4056.949	4058.25418325903	4065.676	4058.711	4071.365	4058.25418325903	4058.25418325903	4070.801
MarorCMC-7	MarorCMC-7	351.234672512553	351.234672512553	351.234672512553	346.725	351.234672512553	351.234672512553	351.234672512553	351.234672512553	355.803	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553	351.234672512553
MarorCMC-8	MarorCMC-8	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739	273.492956521739
MarorCMC-9	MarorCMC-9	1124.238	1157.481	1137.665	1148.649	1132.989	1157.274	1158.968	1148.738	1158.992	1166.086	1153.501	1158.245	1132.619	1100.826	1134.569	1147.949	1138.783	1156.676	1149.711	1162.365	1164.765	1134.603	1161.801
MarorCopia-1	MarorCopia-1	4880.238	4913.481	4893.665	4904.649	4888.989	4913.274	4914.968	4904.738	4914.992	4922.086	4909.501	4914.245	4888.619	4856.826	4903.83574129445	4903.949	4894.783	4912.676	4905.711	4918.365	4920.765	4890.603	4917.801
MarorCopia-10	MarorCopia-10	1536.238	1569.481	1549.665	1560.649	1544.989	1569.274	1570.968	1560.738	1570.992	1578.086	1565.501	1570.245	1544.619	1512.826	1546.569	1559.949	1550.783	1568.676	1561.711	1574.365	1576.765	1546.603	1573.801
MarorCopia-11	MarorCopia-11	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783	1991.28230434783
MarorCopia-12	MarorCopia-12	1522.238	1555.481	1535.665	1546.649	1530.989	1555.274	1556.968	1546.738	1556.992	1564.086	1551.501	1556.245	1530.619	1498.826	1532.569	1545.949	1536.783	1554.676	1547.711	1560.365	1562.765	1532.603	1559.801
MarorCopia-13	MarorCopia-13	4992.58604662687	4992.58604662687	4992.58604662687	4987.649	4992.58604662687	4996.274	4992.58604662687	4992.58604662687	4992.58604662687	5005.086	4992.58604662687	4997.245	4992.58604662687	4992.58604662687	4992.58604662687	4986.949	4992.58604662687	4992.58604662687	4992.58604662687	5001.365	4992.58604662687	4973.603	4992.58604662687
MarorCopia-14	MarorCopia-14	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989	4431.989
MarorCopia-15	MarorCopia-15	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783	4977.28230434783
MarorCopia-16	MarorCopia-16	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711	4558.711
MarorCopia-17	MarorCopia-17	5254.238	5287.481	5267.665	5278.649	5262.989	5287.274	5288.968	5278.738	5288.992	5296.086	5283.501	5288.245	5262.619	5230.826	5264.569	5277.949	5268.783	5286.676	5279.711	5292.365	5294.765	5264.603	5291.801
MarorCopia-18	MarorCopia-18	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783	5028.28230434783
MarorCopia-19	MarorCopia-19	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783	5083.28230434783
