MarorAcadem-1.t1	MarorAcadem-1	MarorAcadem-1
MarorAcadem-2.t1	MarorAcadem-2	MarorAcadem-2
MarorAcadem-3.t1	MarorAcadem-3	MarorAcadem-3
MarorAcadem-4.t1	MarorAcadem-4	MarorAcadem-4
MarorAcadem-5.t1	MarorAcadem-5	MarorAcadem-5
MarorAcadem-6.t1	MarorAcadem-6	MarorAcadem-6
MarorCMC-1.t1	MarorCMC-1	MarorCMC-1
MarorCMC-2.t1	MarorCMC-2	MarorCMC-2
MarorCMC-3.t1	MarorCMC-3	MarorCMC-3
MarorCMC-4.t1	MarorCMC-4	MarorCMC-4
MarorCMC-5.t1	MarorCMC-5	MarorCMC-5
MarorCMC-6.t1	MarorCMC-6	MarorCMC-6
MarorCMC-7.t1	MarorCMC-7	MarorCMC-7
MarorCMC-8.t1	MarorCMC-8	MarorCMC-8
MarorCMC-9.t1	MarorCMC-9	MarorCMC-9
MarorCMC-10.t1	MarorCMC-10	MarorCMC-10
MarorCopia-1.t1	MarorCopia-1	MarorCopia-1
MarorCopia-2.t1	MarorCopia-2	MarorCopia-2
MarorCopia-3.t1	MarorCopia-3	MarorCopia-3
MarorCopia-4.t1	MarorCopia-4	MarorCopia-4
MarorCopia-5.t1	MarorCopia-5	MarorCopia-5
MarorCopia-6.t1	MarorCopia-6	MarorCopia-6
MarorCopia-7.t1	MarorCopia-7	MarorCopia-7
MarorCopia-8.t1	MarorCopia-8	MarorCopia-8
MarorCopia-9.t1	MarorCopia-9	MarorCopia-9
MarorCopia-10.t1	MarorCopia-10	MarorCopia-10
MarorCopia-11.t1	MarorCopia-11	MarorCopia-11
MarorCopia-12.t1	MarorCopia-12	MarorCopia-12
MarorCopia-13.t1	MarorCopia-13	MarorCopia-13
MarorCopia-14.t1	MarorCopia-14	MarorCopia-14
MarorCopia-15.t1	MarorCopia-15	MarorCopia-15
MarorCopia-16.t1	MarorCopia-16	MarorCopia-16
MarorCopia-17.t1	MarorCopia-17	MarorCopia-17
MarorCopia-18.t1	MarorCopia-18	MarorCopia-18
MarorCopia-19.t1	MarorCopia-19	MarorCopia-19
MarorCopia-20.t1	MarorCopia-20	MarorCopia-20
MarorDileera-1.t1	MarorDileera-1	MarorDileera-1
MarorDileera-2.t1	MarorDileera-2	MarorDileera-2
MarorDileera-3.t1	MarorDileera-3	MarorDileera-3
MarorDileera-4.t1	MarorDileera-4	MarorDileera-4
MarorDileera-5.t1	MarorDileera-5	MarorDileera-5
MarorDileera-6.t1	MarorDileera-6	MarorDileera-6
