sample	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
N2L	0	143.502040382114	50.197794171205	151.169493716192	42.7733146563584	149.413272659566	45.3801627959178	150.968123923639	47.8692594432338	145.172910580298	63.428877054498	154.270630706352	49.8740457908993	156.080497214643	43.4914858362469	149.763537792855	68.3478382174757	149.518823197561	58.0874433499349	174.39785895545	173.026231379374	47.8823316070846	180.074947825811
N2S	143.502040382114	0	146.702512416533	71.2363109922257	141.022160251089	60.2934259290003	146.768591172714	67.5303470479845	133.492475231971	70.217598626139	138.675943113096	81.2017787019543	144.812977064057	59.1740913162597	141.912122257521	49.689179682641	132.594462618067	62.7167710812648	154.53870496443	114.693550991429	130.550469494823	138.806556308379	109.085028861531
N3L	50.197794171205	146.702512416533	0	148.212209459849	36.7884014744754	149.289083336153	50.9175940107856	155.249650442918	50.0575640219909	143.451096636812	48.5508395917734	151.06234020386	53.856409559602	159.317975042076	47.2586220846976	152.404075391838	58.4362407009453	148.242932164283	50.1689002749781	172.666730344754	164.339310656612	40.8975022031789	178.076850675314
N3S	151.169493716192	71.2363109922257	148.212209459849	0	145.013625670241	50.0570922166803	156.394001497928	93.2188981182203	138.452165323051	54.8385083450931	141.512078334228	68.3907777981901	153.673443142489	79.1115807371146	149.426779578701	70.9943294521989	132.692508561453	67.8676855919081	163.121683369226	109.563390043872	111.342642846066	142.562294891614	93.9335057948863
N4L	42.7733146563584	141.022160251089	36.7884014744754	145.013625670241	0	144.411528645592	46.419329367984	149.932142938779	40.1097120562713	139.558005919566	48.0981416466113	147.607078243257	48.0391688735749	153.846213784352	37.7993563685336	147.139556945612	52.5547939744307	143.916120002003	53.9045494887154	171.178851915106	165.162938998299	34.3402686268565	174.161551510884
N4S	149.413272659566	60.2934259290003	149.289083336153	50.0570922166803	144.411528645592	0	153.227070370068	74.2769651761264	136.71844551586	53.5940350535609	141.141166617686	63.8172696128207	150.858640053553	67.2131259591807	147.457698624102	56.9882711617878	132.631241451803	61.0592319375242	161.437118705589	108.328200112384	119.741699222995	141.978138031965	95.7289816396085
NE3L	45.3801627959178	146.768591172714	50.9175940107856	156.394001497928	46.419329367984	153.227070370068	0	152.723636754383	51.9405781222411	149.329573987879	62.6066900768819	159.773113745349	43.1796932176733	160.436174154833	38.7364663303875	152.709722327323	69.5527227005803	150.06782043662	43.6442364558502	180.892264076393	177.44840746682	48.3765087600985	184.90159887723
NE3S	150.968123923639	67.5303470479845	155.249650442918	93.2188981182203	149.932142938779	74.2769651761264	152.723636754383	0	141.08830793296	75.7630977950224	147.238176680792	91.2931656965166	151.667303739515	66.4822973032445	149.41085184582	60.4587685782498	142.76155262512	63.1808367926334	160.329057853116	116.947648623389	141.172824088006	147.83519201013	118.683623569536
NE4L	47.8692594432338	133.492475231971	50.0575640219909	138.452165323051	40.1097120562713	136.71844551586	51.9405781222411	141.08830793296	0	131.871196630172	48.5076594018209	139.917174367316	54.5568198028166	146.380926512039	45.6675764816149	138.967130965489	55.5136676157188	136.566814536231	63.2524919204477	164.398463203307	160.081955337761	42.8568413359232	167.892559931973
NE4S	145.172910580298	70.217598626139	143.451096636812	54.8385083450931	139.558005919566	53.5940350535609	149.329573987879	75.7630977950224	131.871196630172	0	136.172901682574	57.547723306969	146.78353979126	78.5611132134577	142.846490089308	69.4020535608142	126.429766795576	60.0023627554925	156.616106631796	103.295302413494	110.674001459156	137.174826621649	95.1567344891217
NE5L	63.428877054498	138.675943113096	48.5508395917734	141.512078334228	48.0981416466113	141.141166617686	62.6066900768819	147.238176680792	48.5076594018209	136.172901682574	0	142.469588630047	65.2662898746159	152.485788357512	58.9781773441404	144.919169405743	61.6839795651679	139.609220148362	62.1391798691113	167.125506601734	156.933774098246	49.7090446846116	171.290651722708
NE5S	154.270630706352	81.2017787019543	151.06234020386	68.3907777981901	147.607078243257	63.8172696128207	159.773113745349	91.2931656965166	139.917174367316	57.547723306969	142.469588630047	0	156.092946018825	88.0440534311723	151.725299502617	81.1561621213081	131.269026530701	78.718517190747	165.928705222057	92.116535595832	100.939853824859	144.759530920654	88.4056737333927
