tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
rna-XM_043145796.1	gene-E1B28_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145797.1	gene-E1B28_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145798.1	gene-E1B28_000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145799.1	gene-E1B28_000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145800.1	gene-E1B28_000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145801.1	gene-E1B28_000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145802.1	gene-E1B28_000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145803.1	gene-E1B28_000008	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
rna-XM_043145804.1	gene-E1B28_000009	4	2	1	6	5	5	5	3	4	5	1	4	3	4	4	1	4	1	3	3	0	3	0
rna-XM_043145805.1	gene-E1B28_000010	673.015	314.686	570.898	662.344	559	868	646	1080.942	402	551.168	295	524	492	1366.148	720	1046.526	413	364	589	704	129	607	258
rna-XM_043145806.1	gene-E1B28_000011	12167.038	4230.141	11988.415	9626.373	10608.668	9904.699	9257.698	11379.694	5057.959	7206	5415.745	7689.714	9115.627	13007.251	12041.442	9291.995	6806.967	4938.017	10217.256	7227	1803	9648.783	2892.538
rna-XM_043145807.1	gene-E1B28_000012	0	1	3	2	2	8	0	15	2	5	3	199	0	8	1	8	0	6	0	1392	1	1	2
rna-XM_043145808.1	gene-E1B28_000013	2606.549	321	2522.999	821	2213.809	947	2473.587	1216	1210	858	1201	918	1896.38	739.065	2579.743	728	1397	395	2367.761	655	278	2033.468	240
rna-XM_043145809.1	gene-E1B28_000014	35	1	47	11	40	5	15	5	24	4	24	13	36	18	23	9	26	2	33	7	2	23	1
rna-XM_043145810.1	gene-E1B28_000015	602	832	978	3740.976	603	2689.746	302	2717.577	633	2733	587.203	2596	292	2045.733	624	1712	1475.031	1534	206	1118.82	423	747.551	913
rna-XM_043145811.1	gene-E1B28_000016	279	270	232	989	339	1046	145	300	206	598	195	861	206	870.087	309	581	363	225	131	1593	136	346.358	225
rna-XM_043145812.1	gene-E1B28_000017	488	164	333	516.1	323	471	248	343.695	210	398	183	491	259	303	298.065	238	255	132	297.015	171	110	321.047	159
rna-XM_043145813.1	gene-E1B28_000018	507.75	33.884	266.105	415.739	578.348	542.628	519.954	41.717	424.222	83.324	503.713	207.687	471.317	74.67	565.374	110.163	453.689	33.612	348.62	129.028	110.669	705.082	76.118
rna-XM_043145814.1	gene-E1B28_000018	491.25	61.158	430.338	156.261	327.652	114.372	244.106	79.283	176.778	172.676	115.287	102.341	333.015	117.33	376.104	55.837	247.672	71.388	291.13	98.972	20.331	369.44	38.882
rna-XM_043145815.1	gene-E1B28_000019	249.677	24.001	131.47	98.106	133.35	32.182	94.195	4.486	194.674	29.481	44.097	23.453	21.823	47.564	143.445	0	81.176	0	28.073	0	0	159.758	0
rna-XM_043145816.1	gene-E1B28_000019	319.323	36.999	309.953	126.894	290.65	150.818	303.805	60.514	113.326	39.519	250.903	105.547	199.177	16.436	250.555	65	181.824	50	298.927	30	81	216.242	18
rna-XM_043145817.1	gene-E1B28_000020	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
rna-XM_043145818.1	gene-E1B28_000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145819.1	gene-E1B28_000022	40.267	4.735	35.622	11.384	30.207	12.246	25.764	12	18.633	8	11.21	10.217	23.754	18.263	29.375	4	13.016	5.411	37.427	7.562	2	21.268	3
rna-XM_043145820.1	gene-E1B28_000023	4	2	11	1	5	2	1	1	1	2	0	0	4	2	3	2	1	1	4	0	0	3	0
rna-XM_043145821.1	gene-E1B28_000024	226.733	25.265	112.378	87.616	132.517	68.754	115.236	88	92.367	48	76.79	57.783	108.246	97.737	133.625	67	70.984	36.589	132.573	58.438	12	117.732	14
