tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
rna-XM_043145796.1	gene-E1B28_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145797.1	gene-E1B28_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145798.1	gene-E1B28_000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145799.1	gene-E1B28_000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145800.1	gene-E1B28_000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145801.1	gene-E1B28_000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145802.1	gene-E1B28_000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043145803.1	gene-E1B28_000008	0	0	0	0	0.080432	0	0	0	0	0	0	0	0	0	0.060855	0	0	0	0	0	0	0	0
rna-XM_043145804.1	gene-E1B28_000009	1.937846	2.266329	0.509679	3.139027	2.95177	2.224891	2.312496	1.45297	3.445631	3.746327	0.928213	3.238693	1.474714	2.322643	1.775453	0.560102	3.162796	1.030762	1.46467	3.130866	0	1.635083	0
rna-XM_043145805.1	gene-E1B28_000010	29.357344	38.830686	29.197962	36.041897	31.06322	41.556951	32.681245	53.769345	37.411281	46.385551	30.192146	45.547644	23.01005	58.661963	30.320736	60.624567	31.024599	40.81698	29.160314	82.532097	56.352464	31.770524	37.917979
rna-XM_043145806.1	gene-E1B28_000011	353.595623	352.133204	411.50069	352.406874	394.066209	319.118626	315.939299	380.525994	317.203446	409.96402	373.871407	450.507742	285.493915	369.880775	339.37674	360.82035	342.356761	373.313052	340.521268	572.145552	532.675075	337.779421	287.415321
rna-XM_043145807.1	gene-E1B28_000012	0	0.267296	0.338596	0.238096	0.248917	0.836988	0	1.636976	0.404731	0.904833	0.665428	37.59266	0	0.797446	0.093896	1.027106	0	1.46068	0	352.191208	0.937754	0.11698	0.631772
rna-XM_043145808.1	gene-E1B28_000013	174.482828	59.600494	195.727813	67.510996	187.788044	68.482504	188.308444	91.516633	169.720286	108.303296	184.993941	120.237202	134.99809	49.175579	165.519052	64.091847	159.787811	66.712417	176.967476	115.358545	182.024611	162.318042	52.894611
rna-XM_043145809.1	gene-E1B28_000014	1.834244	0.147148	2.875267	0.714961	2.66516	0.28588	0.904952	0.297213	2.665149	0.400945	2.929386	1.348247	2.016571	0.931994	1.160514	0.624087	2.339598	0.267539	1.950713	0.978008	1.040319	1.442917	0.175033
rna-XM_043145810.1	gene-E1B28_000015	12.703107	50.636226	24.473182	99.974005	16.293274	63.272393	7.534989	66.30854	29.006248	113.809609	29.634931	111.13779	6.658976	42.101227	12.801428	48.432281	54.012203	84.757819	5.01361	64.795154	91.495852	19.04243	66.407732
rna-XM_043145811.1	gene-E1B28_000016	6.775808	18.860132	6.670854	30.353486	10.534584	28.256352	4.152322	8.408023	10.836841	28.568125	11.295536	42.314761	5.400645	20.635747	7.288594	18.891521	15.281663	14.270558	3.661031	105.862304	33.744139	10.14561	18.774132
rna-XM_043145812.1	gene-E1B28_000017	13.696604	13.195937	11.044412	18.258987	11.589928	14.66568	8.180789	11.106184	12.728983	21.889765	12.211108	27.802916	7.836711	8.317867	8.115602	8.929189	12.390335	9.645391	9.566838	13.086381	31.418041	10.857161	15.273482
rna-XM_043145813.1	gene-E1B28_000018	17.021745	3.24124	10.512715	17.503895	24.756378	20.10507	20.390818	1.604735	30.581799	5.443851	39.960353	13.985798	17.000919	2.453896	18.355591	4.925323	26.282042	2.920525	13.360097	11.734325	37.542011	28.438876	8.685308
rna-XM_043145814.1	gene-E1B28_000018	15.3993	5.480594	15.914516	6.160876	13.121105	3.968443	8.968158	2.855595	11.936746	10.572094	8.5679	6.455438	11.240853	3.602211	11.425576	2.33649	13.425874	5.810451	10.448736	8.433549	6.463649	13.941649	4.157684
rna-XM_043145815.1	gene-E1B28_000019	5.281382	1.464225	3.297794	2.628086	3.611901	0.758861	2.355807	0.109716	8.941974	1.230599	2.23079	1.006439	0.498864	0.981269	2.949898	0	2.979665	0	0.684878	0	0	4.079374	0
