Sample,Location,Replicate,Tissue,Experiment,SciSample,Lane,R1,R2
N2L,north,2,lamella,WK-3861-N2L,S961,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2L/WK-3861-N2L_S961_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2L/WK-3861-N2L_S961_L006_R2_001.fastq.gz
N2SP,north,2,spore,WK-3861-N2SP,S1000,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2SP/WK-3861-N2SP_S1000_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2SP/WK-3861-N2SP_S1000_L006_R2_001.fastq.gz
N2S,north,2,stipe,WK-3861-N2S,S973,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2S/WK-3861-N2S_S973_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2S/WK-3861-N2S_S973_L006_R2_001.fastq.gz
N3L,north,3,lamella,WK-3861-N3L,S962,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3L/WK-3861-N3L_S962_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3L/WK-3861-N3L_S962_L006_R2_001.fastq.gz
N3SP,north,3,spore,WK-3861-N3SP,S1001,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3SP/WK-3861-N3SP_S1001_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3SP/WK-3861-N3SP_S1001_L006_R2_001.fastq.gz
N3S,north,3,stipe,WK-3861-N3S,S974,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3S/WK-3861-N3S_S974_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3S/WK-3861-N3S_S974_L006_R2_001.fastq.gz
N4L,north,4,lamella,WK-3861-N4L,S963,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4L/WK-3861-N4L_S963_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4L/WK-3861-N4L_S963_L006_R2_001.fastq.gz
N4SP,north,4,spore,WK-3861-N4SP,S1002,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4SP/WK-3861-N4SP_S1002_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4SP/WK-3861-N4SP_S1002_L006_R2_001.fastq.gz
N4S,north,4,stipe,WK-3861-N4S,S975,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4S/WK-3861-N4S_S975_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4S/WK-3861-N4S_S975_L006_R2_001.fastq.gz
NE3L,northeast,3,lamella,WK-3861-NE3L,S967,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3L/WK-3861-NE3L_S967_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3L/WK-3861-NE3L_S967_L006_R2_001.fastq.gz
NE3S,northeast,3,stipe,WK-3861-NE3S,S979,L006,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3S/WK-3861-NE3S_S979_L006_R1_001.fastq.gz,20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3S/WK-3861-NE3S_S979_L006_R2_001.fastq.gz
