XM_ID,XP_ID
XM_043145796.1,XP_043014495.1
XM_043145797.1,XP_043014496.1
XM_043145798.1,XP_043014497.1
XM_043145799.1,XP_043014498.1
XM_043145800.1,XP_043014499.1
XM_043145801.1,XP_043014500.1
XM_043145802.1,XP_043014501.1
XM_043145803.1,XP_043014502.1
XM_043145804.1,XP_043014503.1
XM_043145805.1,XP_043014504.1
XM_043145806.1,XP_043014505.1
XM_043145807.1,XP_043014506.1
XM_043145808.1,XP_043014507.1
XM_043145809.1,XP_043014508.1
XM_043145810.1,XP_043014509.1
XM_043145811.1,XP_043014510.1
XM_043145812.1,XP_043014511.1
XM_043145814.1,XP_043014513.1
XM_043145813.1,XP_043014512.1
XM_043145815.1,XP_043014514.1
XM_043145816.1,XP_043014515.1
XM_043145817.1,XP_043014516.1
XM_043145818.1,XP_043014517.1
XM_043145819.1,XP_043014518.1
XM_043145820.1,XP_043014519.1
XM_043145821.1,XP_043014520.1
XM_043145822.1,XP_043014521.1
XM_043145823.1,XP_043014522.1
XM_043145824.1,XP_043014523.1
XM_043145825.1,XP_043014524.1
XM_043145826.1,XP_043014525.1
XM_043145827.1,XP_043014526.1
XM_043145828.1,XP_043014527.1
XM_043145829.1,XP_043014528.1
XM_043145830.1,XP_043014529.1
XM_043145831.1,XP_043014530.1
XM_043145832.1,XP_043014531.1
XM_043145833.1,XP_043014532.1
XM_043145834.1,XP_043014533.1
XM_043145835.1,XP_043014534.1
XM_043145836.1,XP_043014535.1
XM_043145837.1,XP_043014536.1
XM_043145838.1,XP_043014537.1
XM_043145839.1,XP_043014538.1
XM_043145840.1,XP_043014539.1
XM_043145841.1,XP_043014540.1
XM_043145842.1,XP_043014541.1
XM_043145843.1,XP_043014542.1
XM_043145844.1,XP_043014543.1
XM_043145845.1,XP_043014544.1
XM_043145846.1,XP_043014545.1
XM_043145847.1,XP_043014546.1
XM_043145848.1,XP_043014547.1
XM_043145849.1,XP_043014548.1
XM_043145850.1,XP_043014549.1
XM_043145851.1,XP_043014550.1
XM_043145852.1,XP_043014551.1
XM_043145853.1,XP_043014552.1
XM_043145854.1,XP_043014553.1
XM_043145855.1,XP_043014554.1
XM_043145856.1,XP_043014555.1
XM_043145857.1,XP_043014556.1
XM_043145858.1,XP_043014557.1
XM_043145859.1,XP_043014558.1
XM_043145860.1,XP_043014559.1
XM_043145861.1,XP_043014560.1
XM_043145862.1,XP_043014561.1
XM_043145863.1,XP_043014562.1
XM_043145864.1,XP_043014563.1
XM_043145865.1,XP_043014564.1
XM_043145866.1,XP_043014565.1
XM_043145867.1,XP_043014566.1
XM_043145868.1,XP_043014567.1
XM_043145869.1,XP_043014568.1
XM_043145870.1,XP_043014569.1
XM_043145871.1,XP_043014570.1
XM_043145872.1,XP_043014571.1
XM_043145873.1,XP_043014572.1
XM_043145874.1,XP_043014573.1
XM_043145876.1,XP_043014575.1
XM_043145877.1,XP_043014576.1
XM_043145875.1,XP_043014574.1
XM_043145879.1,XP_043014578.1
XM_043145878.1,XP_043014577.1
XM_043145880.1,XP_043014579.1
XM_043145881.1,XP_043014580.1
XM_043145882.1,XP_043014581.1
XM_043145883.1,XP_043014582.1
XM_043145884.1,XP_043014583.1
XM_043145885.1,XP_043014584.1
XM_043145886.1,XP_043014585.1
XM_043145887.1,XP_043014586.1
XM_043145888.1,XP_043014587.1
XM_043145889.1,XP_043014588.1
XM_043145890.1,XP_043014589.1
XM_043145891.1,XP_043014590.1
XM_043145892.1,XP_043014591.1
XM_043145893.1,XP_043014592.1
XM_043145894.1,XP_043014593.1
XM_043145895.1,XP_043014594.1
XM_043145896.1,XP_043014595.1
XM_043145897.1,XP_043014596.1
XM_043145898.1,XP_043014597.1
XM_043145899.1,XP_043014598.1
XM_043145900.1,XP_043014599.1
XM_043145901.1,XP_043014600.1
XM_043145902.1,XP_043014601.1
XM_043145904.1,XP_043014603.1
XM_043145903.1,XP_043014602.1
XM_043145905.1,XP_043014604.1
XM_043145906.1,XP_043014605.1
XM_043145907.1,XP_043014606.1
XM_043145908.1,XP_043014607.1
XM_043145909.1,XP_043014608.1
XM_043145910.1,XP_043014609.1
XM_043145911.1,XP_043014610.1
