gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
gene-E1B28_000001	gene-E1B28_000001	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565	756.572260869565
gene-E1B28_000002	gene-E1B28_000002	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572	2340.572
gene-E1B28_000003	gene-E1B28_000003	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572	1809.572
gene-E1B28_000004	gene-E1B28_000004	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572	2145.572
gene-E1B28_000005	gene-E1B28_000005	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572	1398.572
gene-E1B28_000006	gene-E1B28_000006	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572	1380.572
gene-E1B28_000007	gene-E1B28_000007	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572	2388.572
gene-E1B28_000008	gene-E1B28_000008	696.914592087868	696.914592087868	696.914592087868	696.914592087868	695.085	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	698.749	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868	696.914592087868
gene-E1B28_000009	gene-E1B28_000009	89.687	112.657	102.189	106.701	94.702	110.476	113.148	105.113	111.4	116.946	114.022	110.754	96.243	72.352	95.801	104.936	96.046	112.33	104.229	116.581	103.363632675985	96.785	103.363632675985
gene-E1B28_000010	gene-E1B28_000010	996.084	1034.553	1018.378	1025.857	1006.085	1026.791	1034.411	1023.435	1031.137	1041.17	1034.1	1031.657	1011.59	978.394	1009.748	1014.599	1010.964	1032.559	1027.848	1037.814	1042.581	1007.844	1041.557
gene-E1B28_000011	CGP1	1495.084	1533.553	1517.378	1524.857	1505.085	1525.791	1533.411	1522.435	1530.137	1540.17	1533.1	1530.657	1510.59	1477.394	1508.748	1513.599	1509.964	1531.559	1526.848	1536.814	1541.581	1506.844	1540.557
gene-E1B28_000012	gene-E1B28_000012	467.144708254004	477.593	461.469	468.908	449.206	469.869	467.144708254004	466.489	474.194	484.196	477.15	474.701	467.144708254004	421.465	452.87	457.791	467.144708254004	475.609	467.144708254004	480.873	485.673	450.938	484.594
gene-E1B28_000013	gene-E1B28_000013	649.084	687.553	671.378	678.859	659.085	679.792	687.411	676.435	684.139	694.17	687.1	684.658	664.591	631.402	662.749	667.608	663.964	685.559	680.848	690.814	695.581	660.845	694.558
gene-E1B28_000014	gene-E1B28_000014	829.084	867.553	851.378	858.857	839.085	859.791	867.411	856.435	864.137	874.17	867.1	864.657	844.59	811.394	842.748	847.599	843.964	865.559	860.848	870.814	875.581	840.844	874.557
gene-E1B28_000015	gene-E1B28_000015	2059.084	2097.553	2081.378	2088.857	2069.085	2089.791	2097.411	2086.435	2094.137	2104.17	2097.1	2094.657	2074.59	2041.394	2072.748	2077.599	2073.964	2095.559	2090.848	2100.814	2105.581	2070.844	2104.557
gene-E1B28_000016	gene-E1B28_000016	1789.084	1827.553	1811.378	1818.857	1799.085	1819.791	1827.411	1816.435	1824.137	1834.17	1827.1	1824.657	1804.59	1771.394	1802.748	1807.599	1803.964	1825.559	1820.848	1830.814	1835.581	1800.844	1834.557
gene-E1B28_000017	gene-E1B28_000017	1548.084	1586.553	1570.378	1577.857	1558.085	1578.791	1586.411	1575.435	1583.137	1593.17	1586.1	1583.657	1563.59	1530.394	1561.748	1566.599	1562.964	1584.559	1579.848	1589.814	1594.581	1559.844	1593.557
gene-E1B28_000018	gene-E1B28_000018	1338.83206688063	1391.10686928942	1372.57612768125	1349.28756013515	1337.26181948402	1341.62721729824	1361.90290639347	1381.05485099757	1356.40378982077	1400.57882414369	1349.98993941323	1360.07942122737	1347.41200047504	1331.92657298789	1344.2765945309	1343.55652066323	1341.39442248805	1392.45386055167	1367.34536805664	1375.44907298786	1355.80039973176	1337.45072171947	1370.6928555701
gene-E1B28_000019	gene-E1B28_000019	2025.72101668875	2061.93830745351	2041.01600196991	2055.36025410173	2029.54714457604	2043.4094785406	2054.02745573215	2034.8083215023	2070.45730714866	2070.23870430274	2049.42155612581	2048.56844821714	2024.41951520134	2023.31462548443	2035.66922408015	2022.599	2034.13694931339	2040.559	2040.04626346056	2045.814	2050.581	2036.78960505581	2049.557
