tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorAcadem-1.t1	MarorAcadem-1	5840.238	5873.481	5853.665	5864.649	5848.989	5873.274	5874.968	5864.738	5874.992	5882.086	5869.501	5874.245	5848.619	5816.826	5850.569	5863.949	5854.783	5872.676	5865.711	5878.365	5880.765	5850.603	5877.801
MarorAcadem-2.t1	MarorAcadem-2	278.142	306.581	291.93	301.039	286.321	308.669	310.556	300.143	309.318	316.902	306.399	309.142	284.4	252.747	286.716	300.146	289.366	306.621	300.232	312.997	315.31	286.537	312.128
MarorAcadem-3.t1	MarorAcadem-3	637.239	670.481	650.665	661.649	646	670.274	671.968	661.738	671.992	679.086	666.501	671.245	645.619	613.826	647.569	660.949	651.783	669.676	662.711	675.365	677.765	647.603	674.801
MarorAcadem-4.t1	MarorAcadem-4	488.194	520.481	500.894	511.649	496.031	520.327	521.968	511.843	521.992	529.086	516.501	521.245	496.115	463.976	497.578	510.985	501.783	519.678	512.721	525.365	527.765	498.104	524.801
MarorAcadem-5.t1	MarorAcadem-5	203.795	230.219	216.867	225.484	210.247	232.981	233.24	224.125	231.699	238.323	229.845	231.903	209.444	180.078	210.877	224.893	214.109	229.869	223.164	235.471	236.637	212.026	235.193
MarorAcadem-6.t1	MarorAcadem-6	252.662	278.969	265.725	274.32	258.447	281.736	282.838	272.842	281.638	288.959	279.566	281.687	257.44	226.323	259.952	273	261.935	278.841	272.784	285.192	287.321	259.211	284.534
MarorCMC-1.t1	MarorCMC-1	1424.238	1457.481	1437.665	1448.649	1432.989	1457.274	1458.968	1448.738	1458.992	1466.086	1453.501	1458.245	1432.619	1400.826	1434.569	1447.949	1438.783	1456.676	1449.711	1462.365	1464.765	1434.603	1461.801
MarorCMC-10.t1	MarorCMC-10	20928.238	20961.481	20941.665	20952.649	20936.989	20961.274	20962.968	20952.738	20962.992	20970.086	20957.501	20962.245	20936.619	20904.826	20938.569	20951.949	20942.783	20960.676	20953.711	20966.365	20968.765	20938.603	20965.801
MarorCMC-2.t1	MarorCMC-2	1574.238	1607.481	1587.665	1598.649	1582.989	1607.274	1608.968	1598.738	1608.992	1616.086	1603.501	1608.245	1582.619	1550.826	1584.569	1597.949	1588.783	1606.676	1599.711	1612.365	1614.765	1584.603	1611.801
MarorCMC-3.t1	MarorCMC-3	1749.238	1782.481	1762.665	1773.649	1757.989	1782.274	1783.968	1773.738	1783.992	1791.086	1778.501	1783.245	1757.619	1725.826	1759.569	1772.949	1763.783	1781.676	1774.711	1787.365	1789.765	1759.603	1786.801
MarorCMC-4.t1	MarorCMC-4	19.606	23.637	21.643	22.521	21.596	25.899	23.764	21.374	23.97	25.538	24.676	23.379	19.658	16.888	20.986	24.635	21.772	22.988	21.011	25.222	26.717	20.331	23.336
MarorCMC-5.t1	MarorCMC-5	418.225	450.481	432.118	442.636	426.225	450.646	451.978	442.296	452.243	459.599	446.501	451.569	426.461	394.236	427.616	441.822	432.227	449.679	442.77	455.639	459.077	428.314	455.076
MarorCMC-6.t1	MarorCMC-6	4033.238	4066.481	4046.665	4057.649	4041.989	4066.274	4067.968	4057.738	4067.992	4075.086	4062.501	4067.245	4041.619	4009.826	4043.569	4056.949	4047.783	4065.676	4058.711	4071.365	4073.765	4043.603	4070.801
MarorCMC-7.t1	MarorCMC-7	322.968	353.503	337.289	346.725	332.022	354.751	356.327	346.062	355.803	363.431	351.404	355.514	330.119	298.703	332.237	346.456	335.66	353.119	346.678	359.698	362.31	332.407	358.207
MarorCMC-8.t1	MarorCMC-8	254.506	280.969	267.566	276.085	260.444	283.589	284.831	274.842	283.635	290.949	281.471	283.609	259.414	228.276	261.748	274.967	263.799	280.662	274.782	287.192	289.314	261.171	286.517
MarorCMC-9.t1	MarorCMC-9	1124.238	1157.481	1137.665	1148.649	1132.989	1157.274	1158.968	1148.738	1158.992	1166.086	1153.501	1158.245	1132.619	1100.826	1134.569	1147.949	1138.783	1156.676	1149.711	1162.365	1164.765	1134.603	1161.801
